Post title,Post link,Created date,Impressions,Engagement rate
"From fusion power to methane capture in Southwest Virginia, we’re advancing energy innovation, growing our workforce, and making a real impact across the Commonwealth. Catch up on everything happening at Virginia Energy in our latest newsletter!

https://conta.cc/45Qnd0i
",https://www.linkedin.com/feed/update/urn:li:activity:7349438531200581632,07/11/2025,383,5.5%
"This is what happens when energy policy prioritizes ideology over reliability: U.S. Department of Energy (DOE) warns blackout risk could rise 100x by 2030 as states retire sources like gas and nuclear without adequate replacement. Even without retirements, outage risk could rise 30x because planned supply isn’t enough to match rising demand.

The Virginia Clean Economy Act mandates 100% renewables by 2045, and Virginia can’t afford the risks of renewable tunnel vision. Virginia will continue to invest in reliable baseload sources like nuclear and natural gas, alongside renewables and innovative technologies, as part of an all-of-the-above strategy to keep the power on and our communities safe.

Full report at https://lnkd.in/gkjSXWbP
",https://www.linkedin.com/feed/update/urn:li:activity:7348750686580273153,07/09/2025,1206,6.0%
"Virginia Energy is proud to support the Commonwealth’s success in reducing unnecessary regulatory burdens by over 26%, saving Virginians over $1.2 billion annually.
From energy programs to permitting, mining, and geology, we’ve worked to streamline how we serve the public—making it faster, clearer, and more cost-effective to access the resources and services Virginians rely on.
Better government means better outcomes for communities, businesses, and the future of our Commonwealth.

Read the full release at https://ow.ly/xXKM50WmCtN",https://www.linkedin.com/feed/update/urn:li:activity:7348449841091428352,07/08/2025,930,6.8%
"With funding from the Virginia Clean Energy Innovation Bank and GO Virginia, Southwest Virginia is poised to take a major step toward hosting one of the nation’s first advanced nuclear reactors. This collaborative effort between Virginia Energy, Wise County Virginia, The University of Virginia's College at Wise, Virginia Innovation Nuclear Hub (VIN Hub), Lenowisco Planning District Commission, and Go Virginia will turn readiness into action, preparing SWVA to compete for private investment and federal support to bring the technology to the region.

Read full release at: https://ow.ly/ZovB50WlQRG

#AdvancedNuclear #SWVA #VirginiaEnergy #AllOfTheAbove #NuclearPower #NuclearEnergy",https://www.linkedin.com/feed/update/urn:li:activity:7348335319831703554,07/08/2025,1014,9.4%
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS
",https://www.linkedin.com/feed/update/urn:li:activity:7347625577014542336,07/06/2025,514,4.9%
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS
",https://www.linkedin.com/feed/update/urn:li:activity:7347625577014542336,07/06/2025,999,2.1%
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS
",https://www.linkedin.com/feed/update/urn:li:activity:7347625577014542336,07/06/2025,1513,3.0%
"Metallurgical coal accounts for approximately 80% of Virginia total coal production, and is used in advanced manufacturing process to create some of the worlds most transformative products.
",https://www.linkedin.com/feed/update/urn:li:activity:7347263283168526336,07/05/2025,194,3.1%
"Minerals do more than support industry and innovation—they also light up the night sky! From copper’s brilliant blues to barium’s vibrant greens, the colors in your Fourth of July fireworks come from minerals once mined right here in Virginia.

Learn more about our mineral history: https://ow.ly/sU4m50SuVrJ
#FourthofJuly #VirginiaEnergy!
",https://www.linkedin.com/feed/update/urn:li:activity:7346871166478786561,07/04/2025,497,10.9%
"“We don’t need to guess what might work, we already have the technologies to succeed. What we lack are policies that let them compete. ”

In his latest op-ed, Virginia Energy Director Glenn Davis explains how the rigid mandates of the Virginia Clean Economy Act—signed into law this week in 2020—are driving up costs, threatening grid reliability, and sidelining innovation in clean energy technology.

Read the full piece at Cardinal News:
https://lnkd.in/eq-fMUgN

#VCEA #EnergyPolicy #GridReliability #Nuclear #NaturalGas #CCUS #innovation #carboncapture
",https://www.linkedin.com/feed/update/urn:li:activity:7345874316934148096,07/01/2025,1336,7.2%
